MIM	14536	MIM 411	Mimari Proje VII	Çiğdem Eren	0	A3	14536_MIM411_CigdemEren_A3_01.jpg	Öğr. Gör. Dr.
MIM	14218	MIM 411	Mimari Proje VII	Yüksel Demir	0	A3	14218_MIM411_YukselDemir_A3_01.jpg	Prof. Dr.
MIM	14219	MIM 411	Mimari Proje VII	Bünyamin Derman	0	A3	14219_MIM411_BunyaminDerman_A3_01.jpg	
MIM	14540	MIM 411E	Architectural Design VII	Ayşe Şentürer	0	A3	14540_MIM411E_AyseSenturer_A3_01.jpg	Prof. Dr.
MIM	14543	MIM 411E	Architectural Design VII	Yüksel Demir	0	A3	14543_MIM411E_YukselDemir_A3_01.jpg	Prof. Dr.
MIM	14548	MIM 411E	Architectural Design VII	Belkıs Uluoğlu	0	A3	14548_MIM411E_BelkisUluoglu_A3_01.jpg	Prof. Dr.
MIM	14603	MIM 411E	Architectural Design VII	Mehmet Emin Şalgamcıoğlu	0	A3	14603_MIM411E_MehmetEminSalgamcioglu_A3_01.jpg	Doç. Dr.
MIM	14604	MIM 411E	Architectural Design VII	Ozan Önder Özener	0	A3	14604_MIM411E_OzanOnderOzener_A3_01.jpg	Doç. Dr.
PEM	14551	PEM 311E	Landscape Design II	Fatma Ayçim Türer Başkaya	10	A3	14551_PEM311E_FatmaAycimTurerBaskaya_A3_01.jpg	Doç. Dr.
PEM	14552	PEM 311E	Landscape Design II	Ebru Erbaş Gürler	10	A3	14552_PEM311E_EbruErbasGurler_A3_01.jpg	Doç. Dr.
PEM	14553	PEM 312E	Landscape Design III	Meltem Erdem Kaya	8	A3	14553_PEM312E_MeltemErdemKaya_A3_01.jpg	Doç. Dr.
PEM	14554	PEM 411E	Landscape Design IV	Meltem Erdem Kaya	10	A3	14554_PEM411E_MeltemErdemKaya_A3_01.jpg	Doç. Dr.
PEM	14555	PEM 411E	Landscape Design IV	Gülşen Aytaç	9	A3	14555_PEM411E_GulsenAytac_A3_01.jpg	Prof. Dr.
SBP	14471	SBP 218E	Project IV	Ebru Kerimoğlu	0	A3	14471_SBP218E_EbruKerimoglu_A3_01.jpg	Doç. Dr.
SBP	14488	SBP 311	Proje V	Emine Ferhan Gezici Korten	0	A3	14488_SBP311_EmineFerhanGeziciKorten_A3_01.jpg	Prof. Dr.
SBP	14490	SBP 311	Proje V	Mehmet Ali Yüzer	0	A3	14490_SBP311_MehmetAliYuzer_A3_01.jpg	Doç. Dr.
SBP	14491	SBP 311E	Project V	Tüzin Baycan	0	A3	14491_SBP311E_TuzinBaycan_A3_01.jpg	Prof. Dr.
SBP	14494	SBP 311E	Project V	Şevkiye Şence Türk	0	A3	14494_SBP311E_SevkiyeSenceTurk_A3_01.jpg	Prof. Dr.
SBP	14495	SBP 311E	Project V	Elif Alkay	0	A3	14495_SBP311E_ElifAlkay_A3_01.jpg	Prof. Dr.
SBP	14496	SBP 311E	Project V	Seda Kundak	0	A3	14496_SBP311E_SedaKundak_A3_01.jpg	Doç. Dr.
SBP	14497	SBP 312E	Project VI	Aliye Ahu Akgün	10	A3	14497_SBP312E_AliyeAhuAkgun_A3_01.jpg	Prof. Dr.
SBP	14507	SBP 411	Proje VII	Engin Eyüp Eyuboğlu	0	A3	14507_SBP411_EnginEyupEyuboglu_A3_01.jpg	Doç. Dr.
SBP	14509	SBP 411	Proje VII	Gülden Demet Oruç	0	A3	14509_SBP411_GuldenDemetOruc_A3_01.jpg	Doç. Dr.
SBP	14517	SBP 411E	Project VII	Azime Tezer	8	A3	14517_SBP411E_AzimeTezer_A3_01.jpg	Prof. Dr.
SBP	14519	SBP 411E	Project VII	Özhan Ertekin	0	A3	14519_SBP411E_OzhanErtekin_A3_01.jpg	Doç. Dr.
